Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,1.846 +/- 0.193,1.739 +/- 0.089,1.832 +/- 0.135,1.73 +/- 0.099,1.822 +/- 0.186,1.944 +/- 0.045,1.727 +/- 0.053,1.938 +/- 0.135,2.161 +/- 0.14,1.785 +/- 0.079,2.096 +/- 0.171,2.464 +/- 0.222,1.861 +/- 0.122,2.208 +/- 0.056,2.7 +/- 0.165
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.02,Time,1.538 +/- 0.115,1.557 +/- 0.063,1.594 +/- 0.061,1.544 +/- 0.087,1.614 +/- 0.052,1.762 +/- 0.148,1.608 +/- 0.06,1.713 +/- 0.072,2.002 +/- 0.145,1.619 +/- 0.088,1.869 +/- 0.126,2.103 +/- 0.034,1.671 +/- 0.073,1.944 +/- 0.034,2.428 +/- 0.051
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.05,Time,1.489 +/- 0.034,1.516 +/- 0.014,1.64 +/- 0.134,1.524 +/- 0.053,1.611 +/- 0.039,1.73 +/- 0.104,1.555 +/- 0.03,1.705 +/- 0.083,1.938 +/- 0.041,1.589 +/- 0.086,1.793 +/- 0.031,2.115 +/- 0.052,1.68 +/- 0.083,1.974 +/- 0.037,2.473 +/- 0.063
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.2,Time,1.481 +/- 0.06,1.558 +/- 0.032,1.586 +/- 0.031,1.547 +/- 0.085,1.616 +/- 0.032,1.786 +/- 0.1,1.574 +/- 0.04,1.714 +/- 0.03,1.965 +/- 0.05,1.656 +/- 0.075,1.819 +/- 0.103,2.439 +/- 0.129,1.804 +/- 0.034,2.199 +/- 0.067,2.824 +/- 0.206
0.2,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.5,Time,1.611 +/- 0.055,1.711 +/- 0.113,1.769 +/- 0.075,1.678 +/- 0.039,1.775 +/- 0.103,1.938 +/- 0.091,1.73 +/- 0.122,1.894 +/- 0.042,2.147 +/- 0.066,1.767 +/- 0.107,1.958 +/- 0.05,2.252 +/- 0.117,1.667 +/- 0.024,1.988 +/- 0.039,2.439 +/- 0.046
0.5,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.75,Time,1.497 +/- 0.063,1.635 +/- 0.084,1.628 +/- 0.036,1.529 +/- 0.023,1.631 +/- 0.104,1.759 +/- 0.03,1.543 +/- 0.012,1.704 +/- 0.028,1.924 +/- 0.036,1.628 +/- 0.068,1.817 +/- 0.041,2.109 +/- 0.052,1.685 +/- 0.04,2.0 +/- 0.053,2.522 +/- 0.113
0.75,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
1.0,Time,1.64 +/- 0.162,1.544 +/- 0.022,1.623 +/- 0.052,1.577 +/- 0.077,1.629 +/- 0.05,1.738 +/- 0.023,1.584 +/- 0.146,1.738 +/- 0.038,1.949 +/- 0.042,1.593 +/- 0.017,1.828 +/- 0.043,2.15 +/- 0.043,1.688 +/- 0.044,2.01 +/- 0.06,2.472 +/- 0.051
1.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
