Alpha\(I;N),,(100;20),(100;50),(100;100),(100;200),(200;20),(200;50),(200;100),(200;200),(500;20),(500;50),(500;100),(500;200)
0.0,Time,6.655 +/- 0.491,18.929 +/- 3.148,38.121 +/- 3.796,68.724 +/- 8.96,13.565 +/- 1.072,33.874 +/- 2.806,77.884 +/- 9.389,159.221 +/- 27.472,45.489 +/- 4.059,111.931 +/- 9.368,201.986 +/- 2.414,364.818 +/- 15.075
0.0,Error,-0.091 +/- 0.135,-0.001 +/- 0.096,0.019 +/- 0.104,-0.032 +/- 0.121,-0.065 +/- 0.103,0.012 +/- 0.024,-0.049 +/- 0.107,0.001 +/- 0.096,-0.017 +/- 0.051,-0.051 +/- 0.042,-0.007 +/- 0.041,-0.008 +/- 0.038
0.02,Time,6.072 +/- 0.906,15.159 +/- 1.746,33.28 +/- 3.326,68.979 +/- 3.797,12.343 +/- 1.598,28.496 +/- 3.608,76.768 +/- 17.144,165.464 +/- 24.935,50.679 +/- 4.349,136.014 +/- 45.091,223.64 +/- 40.062,369.264 +/- 39.356
0.02,Error,-0.232 +/- 0.162,0.036 +/- 0.101,-0.093 +/- 0.156,-0.345 +/- 0.213,-0.029 +/- 0.048,0.008 +/- 0.035,-0.074 +/- 0.044,-0.064 +/- 0.098,-0.007 +/- 0.047,-0.04 +/- 0.01,-0.051 +/- 0.066,-0.126 +/- 0.053
0.05,Time,7.179 +/- 0.665,18.947 +/- 1.997,36.169 +/- 4.35,80.984 +/- 17.192,17.355 +/- 3.474,37.864 +/- 11.201,72.436 +/- 6.436,185.349 +/- 24.82,49.178 +/- 3.907,122.742 +/- 10.395,217.746 +/- 24.48,369.751 +/- 22.108
0.05,Error,-0.168 +/- 0.131,-0.203 +/- 0.423,-0.711 +/- 0.329,-0.845 +/- 0.259,-0.011 +/- 0.08,0.032 +/- 0.231,-0.07 +/- 0.161,-0.556 +/- 0.279,-0.008 +/- 0.055,0.048 +/- 0.07,-0.147 +/- 0.129,-0.274 +/- 0.073
0.2,Time,6.53 +/- 0.713,15.0 +/- 1.623,33.041 +/- 4.023,64.01 +/- 6.515,13.345 +/- 1.566,29.374 +/- 3.696,62.596 +/- 7.851,127.047 +/- 13.145,35.765 +/- 3.077,87.944 +/- 8.119,182.83 +/- 2.246,359.454 +/- 4.024
0.2,Error,-1.923 +/- 1.444,-6.035 +/- 0.595,-7.869 +/- 0.205,-8.524 +/- 0.088,-0.018 +/- 1.907,-3.191 +/- 0.406,-4.869 +/- 0.174,-6.192 +/- 0.302,0.465 +/- 0.764,-0.875 +/- 0.427,-1.491 +/- 0.059,-1.626 +/- 0.111
0.5,Time,6.057 +/- 0.746,15.459 +/- 1.767,30.191 +/- 4.135,71.914 +/- 12.843,12.437 +/- 1.408,31.786 +/- 3.2,64.788 +/- 7.825,125.286 +/- 15.788,36.818 +/- 0.838,90.87 +/- 2.153,184.346 +/- 4.929,408.621 +/- 56.973
0.5,Error,-8.583 +/- 0.24,-8.947 +/- 0.021,-8.958 +/- 0.0,-8.958 +/- 0.0,-5.467 +/- 4.879,-8.747 +/- 0.049,-8.901 +/- 0.053,-8.958 +/- 0.0,-3.94 +/- 1.05,-6.149 +/- 0.379,-7.266 +/- 0.218,-8.378 +/- 0.162
1.0,Time,6.688 +/- 0.682,17.289 +/- 2.156,33.263 +/- 4.382,71.284 +/- 9.027,14.432 +/- 1.904,33.711 +/- 4.192,84.098 +/- 22.499,149.469 +/- 13.776,48.834 +/- 18.1,130.903 +/- 53.906,227.268 +/- 55.315,370.986 +/- 10.855
1.0,Error,-8.958 +/- 0.0,-8.958 +/- 0.0,-8.958 +/- 0.0,-8.958 +/- 0.0,-8.946 +/- 0.019,-8.958 +/- 0.0,-8.958 +/- 0.0,-8.958 +/- 0.0,-8.52 +/- 0.078,-8.848 +/- 0.11,-8.945 +/- 0.026,-8.958 +/- 0.0
