Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.184 +/- 0.065,0.302 +/- 0.026,0.528 +/- 0.055,0.244 +/- 0.011,0.491 +/- 0.017,0.905 +/- 0.045,0.374 +/- 0.022,0.78 +/- 0.025,1.425 +/- 0.05,0.541 +/- 0.041,1.192 +/- 0.032,2.208 +/- 0.042,0.774 +/- 0.032,1.739 +/- 0.054,3.253 +/- 0.059
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.02,Time,0.167 +/- 0.014,0.309 +/- 0.019,0.545 +/- 0.026,0.269 +/- 0.014,0.53 +/- 0.018,0.947 +/- 0.04,0.403 +/- 0.022,0.846 +/- 0.028,1.553 +/- 0.024,0.557 +/- 0.047,1.166 +/- 0.035,2.191 +/- 0.045,0.795 +/- 0.031,1.716 +/- 0.042,3.249 +/- 0.049
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.05,Time,0.169 +/- 0.015,0.303 +/- 0.017,0.541 +/- 0.028,0.264 +/- 0.018,0.536 +/- 0.023,0.964 +/- 0.049,0.43 +/- 0.031,0.859 +/- 0.043,1.603 +/- 0.061,0.555 +/- 0.029,1.203 +/- 0.047,2.245 +/- 0.041,0.802 +/- 0.043,1.746 +/- 0.044,3.286 +/- 0.077
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.2,Time,0.162 +/- 0.008,0.305 +/- 0.026,0.52 +/- 0.026,0.263 +/- 0.012,0.52 +/- 0.024,0.94 +/- 0.027,0.406 +/- 0.018,0.872 +/- 0.049,1.595 +/- 0.051,0.542 +/- 0.022,1.192 +/- 0.053,2.191 +/- 0.036,0.747 +/- 0.03,1.695 +/- 0.103,2.919 +/- 0.049
0.2,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.5,Time,0.156 +/- 0.01,0.273 +/- 0.015,0.483 +/- 0.019,0.234 +/- 0.017,0.469 +/- 0.022,0.897 +/- 0.045,0.397 +/- 0.047,0.897 +/- 0.028,1.668 +/- 0.056,0.564 +/- 0.027,1.233 +/- 0.039,2.26 +/- 0.052,0.774 +/- 0.034,1.756 +/- 0.053,3.382 +/- 0.085
0.5,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.75,Time,0.17 +/- 0.015,0.311 +/- 0.026,0.592 +/- 0.049,0.288 +/- 0.033,0.574 +/- 0.051,0.974 +/- 0.044,0.413 +/- 0.024,0.92 +/- 0.051,1.638 +/- 0.069,0.566 +/- 0.019,1.206 +/- 0.039,2.3 +/- 0.076,0.783 +/- 0.037,1.752 +/- 0.036,3.038 +/- 0.19
0.75,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
1.0,Time,0.152 +/- 0.01,0.277 +/- 0.014,0.484 +/- 0.024,0.241 +/- 0.008,0.509 +/- 0.05,0.889 +/- 0.047,0.358 +/- 0.015,0.766 +/- 0.035,1.431 +/- 0.049,0.494 +/- 0.026,1.066 +/- 0.031,2.002 +/- 0.037,0.694 +/- 0.023,1.625 +/- 0.147,3.542 +/- 0.08
1.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
