Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,2.193 +/- 0.285,4.946 +/- 0.058,10.007 +/- 0.143,4.06 +/- 0.043,9.821 +/- 0.094,19.601 +/- 0.201,7.038 +/- 0.068,17.282 +/- 0.12,34.157 +/- 0.264,10.034 +/- 0.052,24.535 +/- 0.215,49.037 +/- 0.515,15.352 +/- 0.117,37.098 +/- 0.138,69.133 +/- 2.931
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-9.87 +/- 13.313,1.0 +/- 0.0
0.02,Time,1.903 +/- 0.031,4.527 +/- 0.031,8.974 +/- 0.027,3.718 +/- 0.018,9.093 +/- 0.031,17.922 +/- 0.064,6.507 +/- 0.042,15.873 +/- 0.085,31.438 +/- 0.102,9.329 +/- 0.026,22.698 +/- 0.089,46.123 +/- 0.921,14.63 +/- 0.081,35.423 +/- 0.091,70.386 +/- 0.192
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-2.163 +/- 9.488,1.0 +/- 0.0
0.05,Time,1.941 +/- 0.018,4.746 +/- 0.075,9.52 +/- 0.11,3.966 +/- 0.058,9.612 +/- 0.062,19.037 +/- 0.081,6.894 +/- 0.078,16.868 +/- 0.192,33.265 +/- 0.129,9.955 +/- 0.08,23.814 +/- 0.184,47.078 +/- 0.523,14.992 +/- 0.423,35.487 +/- 0.14,70.357 +/- 0.285
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-2.563 +/- 10.69,1.0 +/- 0.0
0.2,Time,1.964 +/- 0.023,4.744 +/- 0.051,9.365 +/- 0.036,3.91 +/- 0.026,9.48 +/- 0.073,18.782 +/- 0.076,6.822 +/- 0.02,16.631 +/- 0.113,32.821 +/- 0.114,9.729 +/- 0.055,23.699 +/- 0.137,46.786 +/- 0.292,14.59 +/- 0.077,35.571 +/- 0.519,69.635 +/- 1.719
0.2,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-1.952 +/- 8.856,-0.579 +/- 3.158
0.5,Time,1.872 +/- 0.024,4.833 +/- 0.212,9.539 +/- 0.051,3.963 +/- 0.029,9.616 +/- 0.028,19.007 +/- 0.129,6.948 +/- 0.048,16.903 +/- 0.085,33.763 +/- 0.246,9.977 +/- 0.119,24.189 +/- 0.127,47.872 +/- 0.152,14.885 +/- 0.067,36.136 +/- 0.193,71.571 +/- 0.519
0.5,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-2.959 +/- 11.878,1.0 +/- 0.0,1.0 +/- 0.0,-7.459 +/- 12.921,1.0 +/- 0.0,-8.813 +/- 14.989,-3.981 +/- 9.962
0.75,Time,2.021 +/- 0.038,4.844 +/- 0.053,15.057 +/- 14.655,7.637 +/- 6.423,13.398 +/- 4.648,19.154 +/- 0.219,6.852 +/- 0.046,16.64 +/- 0.051,33.234 +/- 0.454,9.794 +/- 0.041,23.837 +/- 0.184,47.282 +/- 0.132,14.696 +/- 0.092,35.866 +/- 0.176,71.064 +/- 0.379
0.75,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-6.098 +/- 21.293,1.0 +/- 0.0,1.0 +/- 0.0,-2.888 +/- 11.664,1.0 +/- 0.0,-16.745 +/- 21.733,1.0 +/- 0.0
1.0,Time,1.975 +/- 0.021,4.792 +/- 0.032,9.529 +/- 0.04,3.964 +/- 0.04,9.63 +/- 0.082,19.019 +/- 0.119,6.938 +/- 0.081,16.803 +/- 0.099,33.124 +/- 0.128,9.823 +/- 0.055,23.913 +/- 0.081,47.503 +/- 0.259,14.769 +/- 0.126,36.286 +/- 0.073,101.229 +/- 29.026
1.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-49.843 +/- 62.269,1.0 +/- 0.0,1.0 +/- 0.0,-37.132 +/- 58.248,1.0 +/- 0.0,-49.843 +/- 62.269,-49.843 +/- 62.269
