Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.934 +/- 0.072,1.617 +/- 0.073,3.041 +/- 0.084,1.261 +/- 0.035,3.049 +/- 0.057,12.325 +/- 12.219,3.468 +/- 1.556,6.848 +/- 2.523,10.962 +/- 0.783,3.167 +/- 0.13,6.972 +/- 0.053,13.819 +/- 0.067,4.288 +/- 0.034,10.631 +/- 0.395,20.949 +/- 0.243
0.0,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.02,Time,0.634 +/- 0.047,1.43 +/- 0.04,2.786 +/- 0.029,1.17 +/- 0.028,2.841 +/- 0.033,5.646 +/- 0.076,2.067 +/- 0.043,4.948 +/- 0.092,9.707 +/- 0.044,2.87 +/- 0.034,7.337 +/- 0.169,13.828 +/- 0.129,4.356 +/- 0.095,10.523 +/- 0.298,21.127 +/- 0.776
0.02,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.05,Time,0.642 +/- 0.023,3.918 +/- 2.211,4.188 +/- 2.04,1.78 +/- 0.259,4.088 +/- 1.313,7.562 +/- 2.665,2.122 +/- 0.026,5.13 +/- 0.026,10.236 +/- 0.071,3.03 +/- 0.037,7.313 +/- 0.064,14.585 +/- 0.185,4.612 +/- 0.095,11.058 +/- 0.105,21.964 +/- 0.308
0.05,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.2,Time,0.655 +/- 0.028,1.699 +/- 0.178,2.999 +/- 0.052,1.255 +/- 0.032,3.005 +/- 0.073,5.758 +/- 0.06,2.131 +/- 0.022,5.119 +/- 0.076,10.129 +/- 0.086,3.042 +/- 0.051,7.327 +/- 0.138,14.55 +/- 0.135,4.539 +/- 0.059,10.998 +/- 0.114,21.705 +/- 0.226
0.2,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.5,Time,0.647 +/- 0.034,1.492 +/- 0.019,2.886 +/- 0.033,1.231 +/- 0.027,2.942 +/- 0.031,5.832 +/- 0.103,2.147 +/- 0.035,5.158 +/- 0.03,10.104 +/- 0.083,3.041 +/- 0.036,7.383 +/- 0.072,16.29 +/- 0.704,5.096 +/- 0.127,12.187 +/- 0.126,24.199 +/- 0.44
0.5,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.75,Time,0.697 +/- 0.023,1.648 +/- 0.039,3.261 +/- 0.106,1.377 +/- 0.038,3.311 +/- 0.074,6.529 +/- 0.131,2.403 +/- 0.096,5.691 +/- 0.09,11.21 +/- 0.286,3.374 +/- 0.079,8.225 +/- 0.172,15.904 +/- 0.351,4.954 +/- 0.103,12.167 +/- 0.264,24.193 +/- 0.585
0.75,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
1.0,Time,0.691 +/- 0.021,1.625 +/- 0.052,3.262 +/- 0.046,1.403 +/- 0.074,3.307 +/- 0.067,6.469 +/- 0.133,2.378 +/- 0.045,5.777 +/- 0.089,11.596 +/- 0.16,3.466 +/- 0.07,8.209 +/- 0.168,16.282 +/- 0.211,5.144 +/- 0.142,12.224 +/- 0.167,24.367 +/- 0.343
1.0,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
