Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,10.146 +/- 0.912,18.17 +/- 1.177,32.049 +/- 1.08,8.838 +/- 0.685,17.959 +/- 0.637,33.179 +/- 0.577
0.0,Error,0.011 +/- 0.007,-0.011 +/- 0.032,-0.011 +/- 0.018,-0.002 +/- 0.015,0.003 +/- 0.015,-0.002 +/- 0.017
0.02,Time,8.532 +/- 0.882,17.061 +/- 0.809,31.253 +/- 0.546,8.79 +/- 0.711,17.611 +/- 0.486,32.954 +/- 0.612
0.02,Error,0.017 +/- 0.008,-0.023 +/- 0.016,-0.012 +/- 0.009,0.006 +/- 0.012,-0.001 +/- 0.009,-0.009 +/- 0.009
0.05,Time,7.658 +/- 0.672,15.012 +/- 0.375,28.22 +/- 0.561,7.729 +/- 0.46,15.999 +/- 0.747,29.838 +/- 0.72
0.05,Error,-0.003 +/- 0.017,-0.02 +/- 0.01,-0.02 +/- 0.004,-0.013 +/- 0.009,-0.014 +/- 0.012,-0.001 +/- 0.03
0.2,Time,7.258 +/- 0.467,15.205 +/- 0.458,31.289 +/- 0.55,8.531 +/- 0.53,17.988 +/- 0.664,31.57 +/- 1.52
0.2,Error,-0.02 +/- 0.003,-0.023 +/- 0.002,-0.025 +/- 0.001,-0.016 +/- 0.005,-0.022 +/- 0.001,-0.023 +/- 0.0
0.5,Time,7.473 +/- 0.469,15.269 +/- 0.404,28.103 +/- 0.643,7.835 +/- 0.425,15.967 +/- 0.364,29.874 +/- 0.523
0.5,Error,-0.022 +/- 0.003,-0.024 +/- 0.003,-0.026 +/- 0.003,-0.022 +/- 0.004,-0.024 +/- 0.001,-0.025 +/- 0.001
1.0,Time,7.454 +/- 0.483,15.308 +/- 0.605,28.375 +/- 0.728,7.745 +/- 0.36,15.982 +/- 0.188,29.919 +/- 0.38
1.0,Error,-0.039 +/- 0.002,-0.045 +/- 0.004,-0.049 +/- 0.004,-0.031 +/- 0.003,-0.032 +/- 0.006,-0.037 +/- 0.005
