Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,6.86 +/- 0.171,17.043 +/- 1.382,37.43 +/- 2.122,14.334 +/- 0.15,34.598 +/- 0.237,68.76 +/- 0.366
0.0,Error,-0.016 +/- 0.011,-0.005 +/- 0.011,-0.003 +/- 0.022,-0.003 +/- 0.011,-0.013 +/- 0.02,-0.009 +/- 0.019
0.02,Time,6.894 +/- 0.121,16.511 +/- 0.192,32.77 +/- 0.425,14.366 +/- 0.202,34.393 +/- 0.193,68.669 +/- 0.447
0.02,Error,-0.013 +/- 0.013,-0.005 +/- 0.005,0.001 +/- 0.004,-0.007 +/- 0.004,0.001 +/- 0.003,-0.001 +/- 0.001
0.05,Time,6.921 +/- 0.137,16.491 +/- 0.169,32.33 +/- 0.303,14.265 +/- 0.127,34.541 +/- 0.191,68.237 +/- 0.325
0.05,Error,-0.004 +/- 0.003,-0.002 +/- 0.002,0.0 +/- 0.004,-0.004 +/- 0.003,0.0 +/- 0.002,-0.001 +/- 0.001
0.2,Time,6.83 +/- 0.199,16.235 +/- 0.154,32.139 +/- 0.239,14.343 +/- 0.24,34.179 +/- 0.271,68.141 +/- 0.496
0.2,Error,-0.007 +/- 0.003,-0.006 +/- 0.002,-0.006 +/- 0.002,-0.003 +/- 0.002,-0.003 +/- 0.001,-0.004 +/- 0.001
0.5,Time,6.844 +/- 0.115,16.317 +/- 0.263,34.355 +/- 2.479,14.867 +/- 0.966,31.842 +/- 1.734,62.064 +/- 2.726
0.5,Error,-0.067 +/- 0.021,-0.055 +/- 0.015,-0.058 +/- 0.011,-0.017 +/- 0.007,-0.021 +/- 0.009,-0.026 +/- 0.013
1.0,Time,6.513 +/- 0.093,15.573 +/- 0.153,30.721 +/- 0.353,13.694 +/- 0.094,33.655 +/- 0.413,66.163 +/- 0.447
1.0,Error,-0.313 +/- 0.008,-0.304 +/- 0.019,-0.312 +/- 0.018,-0.226 +/- 0.018,-0.226 +/- 0.018,-0.218 +/- 0.012
