Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,0.35 +/- 0.138,0.627 +/- 0.054,1.237 +/- 0.063,0.503 +/- 0.034,1.227 +/- 0.049,2.247 +/- 0.081
0.0,Error,0.004 +/- 0.002,0.0 +/- 0.002,0.001 +/- 0.001,0.0 +/- 0.002,0.003 +/- 0.002,-0.002 +/- 0.003
0.02,Time,0.287 +/- 0.023,0.661 +/- 0.065,1.23 +/- 0.061,0.516 +/- 0.038,1.17 +/- 0.058,2.28 +/- 0.062
0.02,Error,0.003 +/- 0.002,0.0 +/- 0.002,-0.001 +/- 0.001,0.0 +/- 0.002,0.001 +/- 0.003,0.0 +/- 0.002
0.05,Time,0.284 +/- 0.023,0.631 +/- 0.034,1.252 +/- 0.069,0.52 +/- 0.037,1.163 +/- 0.058,2.324 +/- 0.068
0.05,Error,0.002 +/- 0.002,0.001 +/- 0.002,-0.004 +/- 0.002,0.0 +/- 0.001,0.003 +/- 0.003,0.0 +/- 0.003
0.2,Time,0.275 +/- 0.017,0.644 +/- 0.045,1.264 +/- 0.058,0.509 +/- 0.022,1.211 +/- 0.055,2.289 +/- 0.081
0.2,Error,0.016 +/- 0.015,-0.017 +/- 0.009,-0.024 +/- 0.01,-0.004 +/- 0.004,-0.002 +/- 0.001,-0.002 +/- 0.001
0.5,Time,0.272 +/- 0.019,0.625 +/- 0.039,1.225 +/- 0.053,0.544 +/- 0.05,1.177 +/- 0.045,2.258 +/- 0.063
0.5,Error,-0.205 +/- 0.044,-0.263 +/- 0.039,-0.23 +/- 0.038,-0.131 +/- 0.034,-0.119 +/- 0.017,-0.12 +/- 0.01
1.0,Time,0.277 +/- 0.031,0.609 +/- 0.033,1.195 +/- 0.051,0.498 +/- 0.036,1.141 +/- 0.094,2.225 +/- 0.092
1.0,Error,-0.75 +/- 0.136,-0.703 +/- 0.139,-0.748 +/- 0.144,-0.545 +/- 0.091,-0.593 +/- 0.097,-0.625 +/- 0.059
