Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,1.649 +/- 0.095,3.95 +/- 0.076,7.947 +/- 0.097,3.522 +/- 0.064,10.112 +/- 0.282,20.066 +/- 0.334
0.0,Error,-0.032 +/- 0.064,-0.027 +/- 0.071,-0.073 +/- 0.132,0.003 +/- 0.022,0.004 +/- 0.043,0.013 +/- 0.027
0.02,Time,1.958 +/- 0.046,4.738 +/- 0.184,13.522 +/- 12.799,7.926 +/- 5.577,20.975 +/- 13.991,22.14 +/- 5.252
0.02,Error,-0.022 +/- 0.047,0.0 +/- 0.036,-0.017 +/- 0.031,-0.023 +/- 0.01,-0.022 +/- 0.024,0.021 +/- 0.023
0.05,Time,1.902 +/- 0.035,10.146 +/- 15.786,23.68 +/- 17.869,7.169 +/- 5.104,13.755 +/- 8.084,18.896 +/- 0.309
0.05,Error,-0.049 +/- 0.039,0.019 +/- 0.053,0.007 +/- 0.167,-0.005 +/- 0.034,-0.03 +/- 0.018,0.026 +/- 0.02
0.2,Time,1.882 +/- 0.06,4.578 +/- 0.079,9.076 +/- 0.112,4.024 +/- 0.097,9.726 +/- 0.156,36.306 +/- 20.291
0.2,Error,0.005 +/- 0.058,-0.027 +/- 0.052,-0.065 +/- 0.056,0.007 +/- 0.042,-0.029 +/- 0.025,0.002 +/- 0.022
0.5,Time,1.797 +/- 0.051,4.376 +/- 0.102,8.898 +/- 0.206,3.942 +/- 0.086,9.54 +/- 0.132,19.523 +/- 0.25
0.5,Error,-0.152 +/- 0.015,-0.218 +/- 0.022,-0.253 +/- 0.029,-0.008 +/- 0.005,-0.051 +/- 0.033,-0.088 +/- 0.038
1.0,Time,1.906 +/- 0.064,4.577 +/- 0.063,9.053 +/- 0.081,4.05 +/- 0.094,9.773 +/- 0.101,19.534 +/- 0.279
1.0,Error,-13.623 +/- 3.351,-17.806 +/- 4.134,-15.358 +/- 4.529,-3.334 +/- 6.182,-1.842 +/- 4.576,-4.932 +/- 6.971
