Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.051 +/- 0.026,0.081 +/- 0.006,0.159 +/- 0.012,0.067 +/- 0.007,0.161 +/- 0.014,0.311 +/- 0.015,0.111 +/- 0.005,0.277 +/- 0.014,0.531 +/- 0.014,0.161 +/- 0.007,0.391 +/- 0.02,0.761 +/- 0.02,0.238 +/- 0.006,0.577 +/- 0.019,1.145 +/- 0.032
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.02,Time,0.033 +/- 0.005,0.084 +/- 0.011,0.152 +/- 0.007,0.069 +/- 0.01,0.153 +/- 0.006,0.306 +/- 0.013,0.113 +/- 0.009,0.27 +/- 0.007,0.541 +/- 0.023,0.164 +/- 0.008,0.392 +/- 0.025,0.759 +/- 0.02,0.242 +/- 0.014,0.575 +/- 0.014,1.13 +/- 0.015
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.05,Time,0.044 +/- 0.012,0.078 +/- 0.0,0.164 +/- 0.016,0.067 +/- 0.007,0.159 +/- 0.012,0.311 +/- 0.015,0.117 +/- 0.008,0.278 +/- 0.01,0.558 +/- 0.02,0.167 +/- 0.01,0.405 +/- 0.017,0.784 +/- 0.011,0.245 +/- 0.012,0.591 +/- 0.012,1.178 +/- 0.03
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.2,Time,0.034 +/- 0.006,0.081 +/- 0.006,0.161 +/- 0.007,0.073 +/- 0.01,0.161 +/- 0.007,0.319 +/- 0.008,0.13 +/- 0.019,0.278 +/- 0.014,0.55 +/- 0.012,0.163 +/- 0.008,0.394 +/- 0.014,0.778 +/- 0.009,0.25 +/- 0.014,0.589 +/- 0.01,1.175 +/- 0.017
0.2,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.5,Time,0.034 +/- 0.006,0.083 +/- 0.007,0.159 +/- 0.006,0.067 +/- 0.007,0.161 +/- 0.007,0.313 +/- 0.007,0.117 +/- 0.011,0.278 +/- 0.009,0.544 +/- 0.018,0.164 +/- 0.008,0.392 +/- 0.005,0.791 +/- 0.031,0.258 +/- 0.022,0.635 +/- 0.014,1.25 +/- 0.045
0.5,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.75,Time,0.039 +/- 0.008,0.089 +/- 0.007,0.173 +/- 0.011,0.073 +/- 0.01,0.173 +/- 0.005,0.338 +/- 0.017,0.128 +/- 0.012,0.294 +/- 0.015,0.572 +/- 0.02,0.178 +/- 0.014,0.427 +/- 0.014,0.819 +/- 0.027,0.258 +/- 0.012,0.63 +/- 0.014,1.242 +/- 0.029
0.75,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
1.0,Time,0.038 +/- 0.008,0.091 +/- 0.012,0.172 +/- 0.017,0.07 +/- 0.01,0.161 +/- 0.007,0.314 +/- 0.011,0.116 +/- 0.008,0.28 +/- 0.008,0.544 +/- 0.006,0.164 +/- 0.008,0.395 +/- 0.012,0.782 +/- 0.027,0.247 +/- 0.014,0.586 +/- 0.011,1.159 +/- 0.013
1.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
