,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
UD ?=0,-0.092,-0.089,-0.063,-0.114,-0.06,-0.03,-0.047,-0.038,-0.046,-0.04,-0.013,-0.047,-0.041,-0.014,0.001
UD ?=0.02,-0.073,-0.08,-0.058,-0.086,-0.063,-0.023,-0.042,-0.06,0.023,-0.038,-0.011,-0.026,0.005,-0.012,-0.027
UD ?=0.05,-0.101,-0.054,-0.049,-0.076,-0.034,-0.041,0.023,-0.053,-0.053,-0.046,-0.021,-0.035,-0.042,-0.048,-0.037
UD ?=0.2,-0.157,-0.119,-0.161,-0.116,-0.135,-0.091,-0.063,-0.082,-0.066,-0.033,-0.063,-0.045,-0.061,-0.042,-0.035
UD ?=0.5,-0.39,-0.442,-0.421,-0.321,-0.347,-0.332,-0.228,-0.233,-0.232,-0.29,-0.227,-0.231,-0.178,-0.18,-0.186
UD ?=0.75,-0.797,-0.796,-0.751,-0.681,-0.646,-0.63,-0.531,-0.498,-0.527,-0.501,-0.481,-0.473,-0.33,-0.367,-0.371
UD ?=1,-1.127,-1.174,-1.12,-0.85,-0.953,-0.939,-0.761,-0.799,-0.755,-0.651,-0.79,-0.749,-0.65,-0.663,-0.774
LW ?=0,0,-0.003,0,-0.003,-0.001,-0.003,0.004,0,0.001,-0.002,0,0.002,0,0.003,-0.002
LW ?=0.02,0.001,-0.006,0.002,-0.002,0.001,-0.002,0.003,0,-0.001,0.001,0,0,0,0.001,0
LW ?=0.05,-0.006,-0.006,-0.004,-0.001,-0.003,-0.004,0.002,0.001,-0.004,-0.001,0,0.003,0,0.003,0
LW ?=0.2,-0.025,-0.114,-0.142,-0.017,-0.035,-0.067,0.016,-0.017,-0.024,-0.003,-0.008,-0.01,-0.004,-0.002,-0.002
LW ?=0.5,-0.415,-0.461,-0.382,-0.273,-0.304,-0.316,-0.205,-0.263,-0.23,-0.131,-0.172,-0.181,-0.131,-0.119,-0.12
LW ?=0.75,-0.66,-0.68,-0.689,-0.55,-0.566,-0.499,-0.47,-0.438,-0.49,-0.388,-0.378,-0.374,-0.375,-0.339,-0.35
LW ?=1,-0.715,-0.663,-0.791,-0.78,-0.777,-0.815,-0.75,-0.703,-0.748,-0.654,-0.656,-0.627,-0.545,-0.593,-0.625
